https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-views-24-7/7132642332.html|2999|Beautiful Views, 24/7 Fitness Center, W/D & more!|potrero hill|1|1|627|2020-05-29|7132642332|2020-05-29T15:36:27-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-corner-studio-with-great/7131472669.html|2350|-Corner Studio with Great Sun Light above Chestnut Street|marina / cow hollow|0|1|0|2020-06-01|7131472669|2020-05-27T15:29:40-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2br-pied-terre-private/7119634418.html|5000|2BR Pied- a- terre, private Garden, Parking,  Pac Heights Lafayette Pk|pacific heights|2|2|1500|2020-06-04|7119634418|2020-05-06T10:00:40-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tour-your-new-home-today/7132679641.html|3999|Tour your New Home Today! Great Views, W/D, Parking, & More!|potrero hill|2|1|833||7132679641|2020-05-29T16:50:40-0700
https://sfbay.craigslist.org/sfc/apa/d/alameda-your-perfect-work-from-home/7129085375.html|5100|Your perfect work from home place|san francisco|3|2.5|2171|2020-06-01|7129085375|2020-05-23T08:46:08-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-generous-closets-modern/7132669755.html|4497|Generous Closets, Modern Kitchens, Elevators, Roof -Top  Deck|potrero hill|2|2|933|2020-05-29|7132669755|2020-05-29T16:30:11-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-low-security-deposit-near/7132682801.html|4500|LOW security deposit near SFSU|ingleside / SFSU / CCSF|4|2|0||7132682801|2020-05-29T16:57:08-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-able-to-show-sun-br-2ba/7124826847.html|4895|ABLE TO SHOW SUN 05-31 3BR/2BA Mission Apartment with W/D in-unit|mission district|3|2|0||7124826847|2020-05-15T15:01:34-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-2-bed-1-bath/7127757377.html|3500|Updated 2 Bed, 1 Bath - Private Balcony, Shared Roof Deck FREE Parking|twin peaks / diamond hts|2|1|0|2020-06-01|7127757377|2020-05-20T20:04:05-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-jones-bush-0-deposit-flex/7132691529.html|2795|Jones & Bush/$0 Deposit/Flex Leases/ONE MONTH FREE!|lower nob hill|1|1|403|2020-05-29|7132691529|2020-05-29T17:16:08-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-br-den-remodeled/7132662348.html|2945|1 BR + Den, Remodeled Kitchen, Garden Apt|lower haight|1|1|700|2020-06-15|7132662348|2020-05-29T16:15:09-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-full-floor-main-level/7118061054.html|3950|Full Floor / Main level Home W/Garage & Sunny Yard|excelsior / outer mission|2|2|0|2020-05-29|7118061054|2020-05-03T12:23:14-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-hot-bernal-heights-coming/7132690685.html|3995|HOT BERNAL HEIGHTS - COMING SOON!!! COMPLETELY REMODELED 3-BED/2-BATH|bernal heights|5|4|0|2020-06-01|7132690685|2020-05-29T17:14:11-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-1br-1ba-with/7132630492.html|2995|Stunning 1BR 1BA with  views!|twin peaks / diamond hts|1|1|0|2020-07-01|7132630492|2020-05-29T15:14:07-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-now-offering-virtual/7132693409.html|3999|NOW OFFERING VIRTUAL TOURS + ONE MONTH FREE|potrero hill|2|2|0|2020-05-29|7132693409|2020-05-29T17:20:35-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-first-month-free-rent/7122789522.html|2900|FIRST MONTH FREE RENT! Gorgeous new remodeled 1BD/1BA|lower nob hill|1|1|0||7122789522|2020-05-12T07:25:08-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-month-free-must-move-in/7128152650.html|4700|1 Month Free! Must move in by 6/15/20!|SOMA / south beach|2|2|1157|2020-05-21|7128152650|2020-05-21T13:47:47-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-park-view-from-apt-mid/7124321340.html|6750|PARK VIEW from APT* MID CITY CONTEMPORARY*3 CONDO BLDG on TECH ROUTE|USF / panhandle|3|2|1550|2020-05-18|7124321340|2020-05-14T17:29:16-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-furnished-1br-1ba/7132677595.html|2500|Fully Furnished 1BR/1BA garden apartment with all utilities included|sunset / parkside|1|1|0|2020-07-01|7132677595|2020-05-29T16:46:18-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bed-1-bath-2nd-bedroom/7132698018.html|3500|1 Bed / 1 Bath - 2nd bedroom easy addition|San Francisco|1|1|1000|2020-06-10|7132698018|2020-05-29T17:31:16-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-846-bush-newly-renovated/7126991639.html|1950|-846 Bush - Newly Renovated Modern Kitchen - Quiet Studio|lower nob hill|0|1|0||7126991639|2020-05-19T13:10:48-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-apartment-in-secure/7132689232.html|2190|Great apartment in secure building|SOMA / south beach|0|0|0|2020-06-06|7132689232|2020-05-29T17:10:58-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-penthouse-1-bedroom-with/7132679400.html|4295|Penthouse 1 Bedroom with ONE MONTH FREE! Breathtaking View of SF!|nob hill|1|1|675|2020-06-01|7132679400|2020-05-29T16:50:07-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-2-bedroom-2/7132690388.html|3660|Gorgeous 2 Bedroom 2 Bathroom, Spacious with W/D|bayview|2|2|1020|2020-05-29|7132690388|2020-05-29T17:13:32-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-1bd-1ba-steps-to/7121627568.html|2995|Spacious 1BD/1BA STEPS to PRIME Lower Haight and Hayes Valley!|hayes valley|1|1|0|2020-05-09|7121627568|2020-05-09T19:23:28-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1x1-love-living/7132682144.html|2890|1x1 Love Living Together…but Want More Room?|ingleside / SFSU / CCSF|1|1|691|2020-05-29|7132682144|2020-05-29T16:55:44-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-video-via-craig-open/7132635361.html|3350|Video via Craig ~ Open Floor Plan, Classic SF Unit, Hardwoods|marina / cow hollow|1|1|0|2020-05-30|7132635361|2020-05-29T15:23:07-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-come-visit-today-bike/7132693752.html|3009|Come Visit Today, Bike Storage and Workstation, Outdoor TV|SOMA / south beach|0|1|422|2020-05-29|7132693752|2020-05-29T17:21:23-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-move-in-ready-with-1/7132680135.html|5096|Move In Ready with 1 Month Free!|mission district|2|2|837|2020-05-29|7132680135|2020-05-29T16:51:40-0700
https://sfbay.craigslist.org/sfc/apa/d/larkspur-location-community-quality/7132636602.html|3250|Location, Community, Quality Living. It Starts Here! 2x2 Available NOW|San Francisco|2|2|946|2020-05-29|7132636602|2020-05-29T15:25:20-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-top-floor-nob/7132707432.html|2795|Spacious Top Floor Nob Hill GEM with $1000 cash if taken by July 01!|nob hill|1|1|650|2020-06-30|7132707432|2020-05-29T17:53:37-0700
https://sfbay.craigslist.org/sfc/apa/d/sun-valley-huge-old-mormon-church/7128125134.html|2100|HUGE OLD MORMON CHURCH/PERFECT FOR NON PROFIT/STORAGE/SHELTER/STUDIO|HOLBROOK ARIZONA|8|6|12500|2020-05-21|7128125134|2020-05-21T13:04:35-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-on-call-maintenance/7132639735.html|2225|On-call Maintenance, Refrigerator, High-speed Internet Access|mission district|0|1|253||7132639735|2020-05-29T15:31:21-0700
https://sfbay.craigslist.org/sfc/apa/d/larkspur-home-sweet-home-serenity-at/7132709077.html|3460|Home Sweet Home! Serenity at Larkspur NOW LEASING!|San Francisco|2|2|0|2020-05-29|7132709077|2020-05-29T17:57:43-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-enormous-1-bedroom-1/7132638251.html|5500|Enormous 1-bedroom 1-bathroom apartment with views. Parking available.|pacific heights|1|1|0|2020-08-18|7132638251|2020-05-29T15:28:37-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-show-sun-large-studio-nob/7124826391.html|2195|SHOW SUN 05/31 Large Studio-Nob Hill-Across Street From Trader's Joes|nob hill|0|1|0|2020-05-29|7124826391|2020-05-15T15:00:51-0700
https://sfbay.craigslist.org/sfc/apa/d/san-francisco-july-1st-large-room-for/7132695976.html|1100|July 1st Large Room For Rent In Outer Sunset $1100|sunset / parkside|1|shared|0|2020-07-01|7132695976|2020-05-29T17:26:34-0700
